mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	23					
3	3	8	8	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	24					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	25					
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	26				4	
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	27					
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	28					
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	29				5	
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	30					
4	4	12	12	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	31					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	32					
4	4	12	12	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	33					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	34					
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	35					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	36				6	
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	37					
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	38				7	
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	39					
5	5	16	16	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	40					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	41					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	42					
5	5	16	16	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	43					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	44					
6	6	20	20	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	45					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	46					
6	6	20	20	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	47					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	48					
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	49				8	
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	50				8	
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	51					
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	52				9	
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	53					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	54					
7	7	24	24	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	55					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	56					
7	7	24	24	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	57					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	58					
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	59				10	
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	60				10	
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	61					
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	62				11	
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	63					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	64					
8	8	28	28	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	65				12	
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	66					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	67					
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	68				13	
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	69					
8	8	28	28	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	70					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	71					
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	72					
8	8	28	28	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	73					
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	74					
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	75					
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	76				14	
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	77					
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	78				15	
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	79					
9	9	32	32	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	80					
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	81					
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	82					
9	9	32	32	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	83					
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	84					
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	85					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	86					
10	10	36	36	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	87					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	88					
10	10	36	36	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	89					
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	90					
11	11	40	40	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	91				16	
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	92					
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	93					
11	11	43	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	94				17	
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	95					
11	11	40	40	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	96					
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	97					
11	11	40	40	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	98					
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	99					
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	100					
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	101				18	
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	102					
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	103				19	
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	104					
12	12	44	44	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	105					
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	106					
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	107					
12	12	44	44	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	108					
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	109					
13	13	48	48	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	110					
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	111					
13	13	48	48	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	112					
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	113				20	
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	114					
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	115				21	
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	116					
13	13	48	48	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	117					
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	118					
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	119				22	
14	14	54	54	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	120					
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	121		articAccentBelow		23	
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	122					
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	123					
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	124				24	
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	125				24	
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	126				24	
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	127		articStaccatoBelow			
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	128		articAccentAbove			
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	129		articAccentAbove			
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	130				25	
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	131					
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	132				26	
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	133		articStaccatoBelow			
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	134		articStaccatoBelow			
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	135		articStaccatoBelow			
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	136		articStaccatoBelow			
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	137		articStaccatoBelow			
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	138		articStaccatoBelow			
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	139		articStaccatoBelow			
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	140		articStaccatoBelow			
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	141		articAccentAbove			
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	142		articAccentAbove			
16	16	60	60	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	143					
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	144				27	
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	145				27	
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	146					
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	147				28	
16	16	60	60	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	148		articStaccatoBelow			
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	149		articStaccatoBelow			
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	150		articStaccatoBelow			
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	151		articStaccatoBelow			
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	152		articStaccatoBelow			
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	153		articStaccatoBelow			
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	154		articStaccatoBelow			
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	155		articStaccatoBelow			
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	156		articAccentAbove			
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	157		articAccentAbove			
17	17	64	64	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	158					
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	159				29	
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	160					
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	161				30	
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	162				30	
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	163		articStaccatoBelow			
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	164		articStaccatoBelow			
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	165		articStaccatoBelow			
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	166		articStaccatoBelow			
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	167		articStaccatoBelow			
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	168		articStaccatoBelow			
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	169		articStaccatoBelow			
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	170		articStaccatoBelow			
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	171		articAccentBelow		31	
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	172					
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	173		articAccentBelow		32	
18	18	68	68	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	174					
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	175		articStaccatoBelow			
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	176		articStaccatoBelow			
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	177		articStaccatoBelow			
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	178		articStaccatoBelow			
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	179		articStaccatoBelow			
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	180		articStaccatoBelow			
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	181		articStaccatoBelow			
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	182		articStaccatoBelow			
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	183					
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	184				33	
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	185					
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	186				34	
19	19	72	72	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	187		articStaccatoBelow			
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	188		articStaccatoBelow			
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	189		articStaccatoAbove			
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	190		articStaccatoAbove			
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	191		articStaccatoAbove			
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	192		articStaccatoAbove			
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	193		articStaccatoBelow			
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	194		articStaccatoBelow			
20	20	76	76	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	195					
20	20	77	77	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	196				35	
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	197				35	
20	20	78	78	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	198					
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	199		articAccentBelow		36	
20	20	76	76	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	200		articStaccatoBelow			
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	201		articStaccatoBelow			
20	20	77	77	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	202		articStaccatoAbove			
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	203		articStaccatoAbove			
20	20	78	78	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	204		articStaccatoAbove			
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	205		articStaccatoAbove			
20	20	79	79	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	206		articStaccatoBelow			
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	207		articStaccatoBelow			
21	21	80	80	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	208					
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	209		articAccentAbove		37	
21	21	82	82	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	210					
21	21	83	83	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	211					
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	212					
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	213		articStaccatoBelow			
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	214		articStaccatoBelow			
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	215		articStaccatoAbove			
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	216		articStaccatoAbove			
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	217		articStaccatoAbove			
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	218		articStaccatoAbove			
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	219		articStaccatoBelow			
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	220		articStaccatoBelow			
22	22	84	84	0.0	0	0	Dynamic	4/4	1	1	0				ff				
22	22	84	84	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	221					
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	222					
22	22	85	85	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	223					
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	224					
22	22	84	84	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	225					
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	226					
22	22	85	85	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	227					
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	228					
23	23	88	88	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	229					
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	230					
23	23	89	89	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	231					
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	232					
23	23	88	88	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	233					
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	234					
23	23	89	89	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	235					
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	236					
24	24	92	92	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	237					
24	24	93	93	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	238				38	
24	24	373/4	373/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	239					
24	24	375/4	375/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	240					
24	24	94	94	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	241				39	
24	24	377/4	377/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	242					
24	24	379/4	379/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	243					
24	24	95	95	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	244				40	
24	24	381/4	381/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	245					
24	24	383/4	383/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	246					
24	24	92	92	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	247					
24	24	93	93	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	248		articStaccatoBelow			
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	249		articStaccatoBelow			
24	24	94	94	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	250		articStaccatoBelow			
24	24	189/2	189/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	251		articStaccatoBelow			
24	24	95	95	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	252		articStaccatoBelow			
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	253		articStaccatoBelow			
25	25	96	96	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	254				41	
25	25	385/4	385/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	255					
25	25	387/4	387/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	256					
25	25	97	97	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	257				42	
25	25	389/4	389/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	258					
25	25	391/4	391/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	259					
25	25	98	98	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	260				43	
25	25	393/4	393/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	261					
25	25	395/4	395/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	262					
25	25	99	99	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	263				44	
25	25	397/4	397/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	264					
25	25	399/4	399/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	265					
25	25	96	96	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	266		articStaccatoBelow			
25	25	193/2	193/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	267		articStaccatoBelow			
25	25	97	97	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	268		articStaccatoAbove			
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	269		articStaccatoAbove			
25	25	98	98	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	270		articStaccatoAbove			
25	25	197/2	197/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	271		articStaccatoAbove			
25	25	99	99	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	272		articStaccatoAbove			
25	25	199/2	199/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	273		articStaccatoAbove			
26	26	100	100	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	274					
26	26	201/2	201/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	275					
26	26	101	101	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	276					
26	26	103	103	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	277					
26	26	100	100	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	278					
26	26	201/2	201/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	279					
